subj,rel,obj
Comedy,have been,a source inspiration
mother,was,Bella degli Abati
the victory Dante,gained,important part
marriage,to,Gemma
marriage,met,Beatrice
Dante Alighieri,was,poet
Dante Alighieri,was major poet of,Late Middle Ages/Early Renaissance
Dante Alighieri,was major poet of,Middle Ages/Early Renaissance
Dante Alighieri,was,major Italian poet
Dante Alighieri,was major Italian poet of,Late Middle Ages/Early Renaissance
Dante Alighieri,known as,Dante
Dante Alighieri,was poet of,Late Middle Ages/Early Renaissance
Dante Alighieri,was,Italian poet
Dante Alighieri,was major Italian poet of,Middle Ages/Early Renaissance
Dante Alighieri,known as,simply Dante
Dante Alighieri,was,major poet
Alighieri,was,major
Dante Alighieri,was Italian poet of,Late Middle Ages/Early Renaissance
Dante Alighieri,was Italian poet of,Middle Ages/Early Renaissance
Alighieri,was,Italian
Dante Alighieri,was poet of,Middle Ages/Early Renaissance
Commedia,is considered,literary work composed
Commedia,is considered,greatest work composed
Commedia work,composed in,language
Commedia greatest work,composed in,Italian language
Commedia,is considered,work composed in language
Commedia,is considered,greatest work composed in language
Commedia greatest work,composed in,language
Commedia,is considered,work composed in Italian language
Commedia literary work,composed in,language
Commedia,is considered,greatest literary work composed in Italian language
Commedia greatest literary work,composed in,language
Commedia,is considered,work
Commedia,is considered,literary work composed in language
Commedia,is considered,literary work composed in Italian language
Commedia,is considered,greatest literary work
Commedia,is considered,greatest literary work composed
Commedia greatest literary work,composed in,Italian language
Commedia,is considered,greatest work composed in Italian language
Commedia work,composed in,Italian language
Commedia,is considered,greatest literary work composed in language
Commedia,is considered,literary work
Commedia,is,considered
Commedia,is considered,greatest work
Commedia,is considered,work composed
Commedia literary work,composed in,Italian language
Dante,have,have source of inspiration for almost seven centuries
Dante,have,have source of inspiration for artists for almost seven centuries
Divine Comedy,have,have source
Divine Comedy,have,have source for artists for almost seven centuries
Divine Comedy,have,have source of inspiration
Dante,have,have source for almost seven centuries
Divine Comedy,have,have source for almost seven centuries
Divine Comedy,have,have source of inspiration for artists
Dante,have,have source for artists
Dante,have,have source of inspiration for artists
Dante,have,have source for artists for almost seven centuries
Divine Comedy,have,have source of inspiration for artists for almost seven centuries
Dante,have,have source of inspiration
Divine Comedy,have,have source for artists
Divine Comedy,have,have source of inspiration for almost seven centuries
Dante,have,have source
Dante,is,often referred to as Father of Italian language
Dante,is,referred to as Father of Italian language
Dante,is,referred to
Dante,is often referred as,Father of language
Dante,is,known
Dante,is,referred to as Father of language
Dante,is,often referred to as Father
Dante,is referred as,Father
Dante,is referred as,Father of Italian language
Dante,is,often referred to as Father of language
Dante,is,referred to as Father
Dante,is known as,one three fountains
Dante,is often referred as,Father
Dante,is,often referred to
Dante,is often referred as,Father of Italian language
Dante,is,often referred
Dante,is referred as,Father of language
Dante,is,referred
Dante,is known as,one of three fountains
biography,was,by him Giovanni Villani
first biography,was,contemporary Giovanni Villani
biography,was,contemporary Giovanni Villani
first biography,was,Giovanni Villani
biography,written on,him
biography,was,Giovanni Villani
first biography,was,by him Giovanni Villani
biography,was,by him contemporary Giovanni Villani
first biography,written on,him
first biography,was,by him contemporary Giovanni Villani
famous section,of third is,first 34 cantos
famous section,is in,Divine Comedy
famous section,is in,Divine Comedy
first third,cantos of,poem
Dante,has,vision of Hell
Dante Alighieri,was,born
Dante Alighieri,was born between,May 14
Dante Alighieri,was,born in 1265 between May 14
Dante Alighieri,was born under,name
Dante Alighieri,was,born between May 14 under name
Dante Alighieri,was born in,1265
Dante Alighieri,was,born in 1265 under name
Dante Alighieri,was,born in 1265 between May 14 under name
Dante Alighieri family,was important in,Florence
Dante Alighieri family,was,important
Dante Alighieri family,supported,Papacy
poet,has,mother
poet 's mother,was,Bella degli Abati
poet,has,mother
Dante,was old,seven years
Alighiero,soon married again to,Lapa di Chiarissimo Cialuffi
Dante,was,when old
Dante,was,old
Alighiero,soon married to,Lapa di Chiarissimo Cialuffi
Alighiero,married again to,Lapa di Chiarissimo Cialuffi
Alighiero,married to,Lapa di Chiarissimo Cialuffi
Dante,was,when seven years old
Dante,has,brother Francesco
Lapa,had,two children
Lapa,had,Dante 's brother Francesco
Dante,fought in,battle of Campaldino
Dante,fought in,battle
Dante,fought in,front
Dante,fought in,front of Guelph troops
victory Dante,gained part in,public life
victory Dante,gained,part
victory Dante,gained part in,life
victory Dante,gained,important part
Dante,married Gemma di Manetto Donati in,1277
Dante,married,Gemma di Manetto Donati
Dante,had already fallen in,love
Dante,had fallen with,Beatrice Portinari
Dante,had already fallen with,Beatrice Portinari
Dante,had fallen in,love
Dante,after,marriage to Gemma Dante
Years,met,Beatrice
Years,met again,Beatrice
Dante,had become,interested
Dante,had,six children with Gemma
six children,is with,Gemma
Dante,had,six children
